"model.id","drug","time","volume","body.weight"
"X.007.BG98","BGJ398",0,202.3,21.5
"X.007.BG98","BGJ398",4,590.3,23
"X.007.BG98","BGJ398",7,796.3,22.7
"X.007.BG98","BGJ398",11,1004.5,23.4
"X.007.biib","binimetinib",0,216.3,19.8
"X.007.biib","binimetinib",3,360.2,19.1
"X.007.biib","binimetinib",6,324.5,18.4
"X.007.biib","binimetinib",9,367,19.4
"X.007.biib","binimetinib",13,372.3,19.7
"X.007.biib","binimetinib",16,379.6,19.4
"X.007.biib","binimetinib",23,344.7,19.5
"X.007.biib","binimetinib",27,337.3,20
"X.007.biib","binimetinib",30,340.1,20.3
"X.007.BK20","BKM120",0,288.8,20.4
"X.007.BK20","BKM120",4,419.9,21.2
"X.007.BK20","BKM120",7,634.1,20.9
"X.007.BK20","BKM120",11,702.5,19.1
"X.007.BK20","BKM120",14,835,18.3
"X.007.BY19","BYL719",0,274.7,21.8
"X.007.BY19","BYL719",4,788.4,21.8
"X.007.BY19","BYL719",7,1082.4,21.7
"X.007.BY19","BYL719",11,1109,20.8
"X.007.BY19.HS90","BYL719 + HSP990",0,293.3,19
"X.007.BY19.HS90","BYL719 + HSP990",3,488.9,16.5
"X.007.BY19.HS90","BYL719 + HSP990",6,261.8,14.6
"X.007.BY19.HS90","BYL719 + HSP990",9,256.1,16.1
"X.007.BY19.HS90","BYL719 + HSP990",13,311.3,18.6
"X.007.BY19.HS90","BYL719 + HSP990",16,301.9,18.3
"X.007.BY19.HS90","BYL719 + HSP990",20,481,18.6
"X.007.BY19.HS90","BYL719 + HSP990",23,491.6,18.7
"X.007.BY19.HS90","BYL719 + HSP990",27,434.6,18.2
"X.007.BY19.HS90","BYL719 + HSP990",30,893.4,19.3
"X.007.BY19.LJ16","BYL719 + LJM716",0,220.1,21
"X.007.BY19.LJ16","BYL719 + LJM716",3,338.3,20.4
"X.007.BY19.LJ16","BYL719 + LJM716",9,371.5,18.5
"X.007.BY19.LJ16","BYL719 + LJM716",13,308.1,18.5
"X.007.BY19.LJ16","BYL719 + LJM716",16,338.8,17.5
"X.007.BY19.LJ16","BYL719 + LJM716",20,325.6,17.4
"X.007.BY19.LJ16","BYL719 + LJM716",23,447.1,18.1
"X.007.BY19.LJ16","BYL719 + LJM716",27,366.7,18.1
"X.007.BY19.LJ16","BYL719 + LJM716",30,472.2,18.7
"X.007.CL57","CLR457",0,226.1,22
"X.007.CL57","CLR457",3,291.1,23.4
"X.007.CL57","CLR457",6,285.3,21.7
"X.007.CL57","CLR457",9,294.9,21.1
"X.007.CL57","CLR457",13,336.6,20.3
"X.007.CL57","CLR457",16,282.7,20.1
"X.007.CL57","CLR457",20,367.9,21
"X.007.CL57","CLR457",23,334.2,20.9
"X.007.CL57","CLR457",27,372.3,19
"X.007.CL57","CLR457",30,344.4,19.3
"X.007.CL57","CLR457",34,366.7,18.4
